hotel_id,nom_hotel,type,pays,region,montant_facture,date_facture,date_echeance,date_paiement,relance_1,relance_2,statut_paiement,desactive,litige,jours_de_retard,montant_du,coeff_type,score_priorite
H0397,Gutierrez-Hess,Indépendant,France,Europe,2815.68,2025-05-18,2025-06-17,2025-07-27,2025-06-22,2025-07-02,En retard,False,False,40,2815.68,1.5,168940.8
H0404,Garcia Ltd,Chaîne,Mexique,Amérique du Nord,1572.13,2025-05-15,2025-06-14,2025-07-18,2025-06-19,2025-06-29,Payé,False,False,34,0.0,1.0,0.0
H0410,"Hurley, White and Edwards",Chaîne,Espagne,Europe,3604.66,2025-04-24,2025-05-24,,2025-05-29,2025-06-08,En retard,True,False,58,3604.66,1.0,209070.28
H0411,Martinez Ltd,Indépendant,Mexique,Amérique du Nord,2953.0,2025-04-23,2025-05-23,2025-06-26,2025-05-28,2025-06-07,Payé,False,False,34,0.0,1.5,0.0
H0414,Martinez-Lucas,Indépendant,Japon,Asie,4837.37,2025-04-26,2025-05-26,2025-07-05,2025-05-31,2025-06-10,Payé,False,False,40,0.0,1.5,0.0
H0415,Baker Ltd,Chaîne,États-Unis,Amérique du Nord,583.17,2025-06-04,2025-07-04,2025-08-10,2025-07-09,2025-07-19,En retard,True,False,37,583.17,1.0,21577.289999999997
H0416,Richardson LLC,Indépendant,Canada,Amérique du Nord,2369.01,2025-05-28,2025-06-27,2025-07-31,2025-07-02,2025-07-12,En retard,True,False,34,2369.01,1.5,120819.51000000001
H0419,Flowers Inc,Indépendant,Inde,Asie,2433.2,2025-03-23,2025-04-22,2025-05-26,2025-04-27,2025-05-07,Payé,False,False,34,0.0,1.5,0.0
H0420,Morrison Group,Chaîne,Canada,Amérique du Nord,1571.29,2025-04-24,2025-05-24,,2025-05-29,2025-06-08,En retard,True,False,58,1571.29,1.0,91134.81999999999
H0421,Contreras PLC,Chaîne,Espagne,Europe,3417.98,2025-04-17,2025-05-17,2025-06-23,2025-05-22,2025-06-01,Payé,False,False,37,0.0,1.0,0.0
H0423,Clay Group,Indépendant,États-Unis,Amérique du Nord,3185.83,2025-06-10,2025-07-10,2025-08-11,2025-07-15,2025-07-25,En retard,False,False,32,3185.83,1.5,152919.84
H0433,"Hendrix, Thornton and Davis",Chaîne,Mexique,Amérique du Nord,4341.06,2025-05-02,2025-06-01,,2025-06-06,2025-06-16,En retard,False,True,50,4341.06,1.0,217053.00000000003
H0434,"Stephens, Guerra and Sullivan",Indépendant,Italie,Europe,2104.76,2025-05-09,2025-06-08,2025-07-13,2025-06-13,2025-06-23,Payé,False,False,35,0.0,1.5,0.0
H0435,"Lewis, Maldonado and Jackson",Chaîne,Canada,Amérique du Nord,505.09,2025-04-29,2025-05-29,2025-07-06,2025-06-03,2025-06-13,Payé,False,False,38,0.0,1.0,0.0
H0439,Garcia-Roy,Chaîne,États-Unis,Amérique du Nord,1558.77,2025-05-12,2025-06-11,,2025-06-16,2025-06-26,En retard,False,False,40,1558.77,1.0,62350.8
H0443,"Martinez, Cain and Mitchell",Indépendant,Thaïlande,Asie,3024.6,2025-04-30,2025-05-30,2025-07-04,2025-06-04,2025-06-14,Payé,False,False,35,0.0,1.5,0.0
H0444,Young-Gay,Indépendant,Canada,Amérique du Nord,4766.75,2025-04-03,2025-05-03,2025-06-05,2025-05-08,2025-05-18,Payé,False,False,33,0.0,1.5,0.0
H0445,"Parker, Rios and Hernandez",Indépendant,Allemagne,Europe,4601.97,2025-05-10,2025-06-09,,2025-06-14,2025-06-24,En retard,True,False,42,4601.97,1.5,289924.11000000004
H0448,"Ford, Wilson and Simpson",Indépendant,Canada,Amérique du Nord,470.03,2025-04-14,2025-05-14,,2025-05-19,2025-05-29,En retard,True,False,68,470.03,1.5,47943.06
H0449,"Bowers, Fisher and Thompson",Indépendant,Mexique,Amérique du Nord,3504.05,2025-04-02,2025-05-02,,2025-05-07,2025-05-17,En retard,False,False,80,3504.05,1.5,420486.0
H0450,"Johnson, Pineda and Jackson",Chaîne,Mexique,Amérique du Nord,4357.65,2025-04-19,2025-05-19,,2025-05-24,2025-06-03,En retard,True,False,63,4357.65,1.0,274531.94999999995
H0452,Burke Group,Indépendant,États-Unis,Amérique du Nord,1415.83,2025-05-15,2025-06-14,,2025-06-19,2025-06-29,En retard,False,True,37,1415.83,1.5,78578.565
H0453,Dunlap and Sons,Indépendant,Inde,Asie,4481.36,2025-03-31,2025-04-30,,2025-05-05,2025-05-15,En retard,True,False,82,4481.36,1.5,551207.2799999999
H0454,Lewis Ltd,Chaîne,Italie,Europe,708.76,2025-04-02,2025-05-02,,2025-05-07,2025-05-17,En retard,False,False,80,708.76,1.0,56700.8
H0455,Colon-Ho,Chaîne,Italie,Europe,4978.9,2025-04-01,2025-05-01,,2025-05-06,2025-05-16,En retard,False,True,81,4978.9,1.0,403290.89999999997
H0456,Ritter Group,Indépendant,États-Unis,Amérique du Nord,1326.91,2025-03-26,2025-04-25,2025-05-26,2025-04-30,2025-05-10,Payé,False,False,31,0.0,1.5,0.0
H0457,"Miller, Gonzales and Gillespie",Indépendant,France,Europe,3165.46,2025-05-10,2025-06-09,,2025-06-14,2025-06-24,En retard,True,False,42,3165.46,1.5,199423.98
H0461,"Keller, Carlson and Poole",Chaîne,États-Unis,Amérique du Nord,1977.04,2025-03-31,2025-04-30,,2025-05-05,2025-05-15,En retard,True,False,82,1977.04,1.0,162117.28
H0462,Lopez LLC,Indépendant,Espagne,Europe,4416.85,2025-05-26,2025-06-25,2025-08-03,2025-06-30,2025-07-10,En retard,True,False,39,4416.85,1.5,258385.72500000003
H0463,Davis-Black,Chaîne,Corée du Sud,Asie,2699.49,2025-06-04,2025-07-04,2025-08-04,2025-07-09,2025-07-19,En retard,True,False,31,2699.49,1.0,83684.18999999999
H0465,Moore Inc,Chaîne,Inde,Asie,524.77,2025-06-01,2025-07-01,2025-08-08,2025-07-06,2025-07-16,En retard,True,False,38,524.77,1.0,19941.26
H0467,"Thomas, Gonzales and Smith",Chaîne,Espagne,Europe,1316.02,2025-04-28,2025-05-28,2025-07-03,2025-06-02,2025-06-12,Payé,False,False,36,0.0,1.0,0.0
H0472,Blair-Farley,Indépendant,Mexique,Amérique du Nord,1890.52,2025-04-04,2025-05-04,2025-06-11,2025-05-09,2025-05-19,Payé,False,False,38,0.0,1.5,0.0
H0477,"Cruz, Walker and Porter",Indépendant,Thaïlande,Asie,2973.54,2025-04-10,2025-05-10,,2025-05-15,2025-05-25,En retard,True,False,72,2973.54,1.5,321142.32
H0484,"Lopez, Mcdonald and Wright",Indépendant,Canada,Amérique du Nord,371.65,2025-05-06,2025-06-05,,2025-06-10,2025-06-20,En retard,True,False,46,371.65,1.5,25643.85
H0485,"Anderson, Torres and Gould",Indépendant,États-Unis,Amérique du Nord,3889.31,2025-04-26,2025-05-26,,2025-05-31,2025-06-10,En retard,True,False,56,3889.31,1.5,326702.04
H0488,Tucker-Davis,Chaîne,Inde,Asie,1676.83,2025-05-13,2025-06-12,2025-07-18,2025-06-17,2025-06-27,Payé,False,False,36,0.0,1.0,0.0
H0489,Weber and Sons,Chaîne,Canada,Amérique du Nord,2900.53,2025-05-01,2025-05-31,2025-07-03,2025-06-05,2025-06-15,Payé,False,False,33,0.0,1.0,0.0
H0495,Johnson-Bowen,Indépendant,États-Unis,Amérique du Nord,4260.13,2025-05-10,2025-06-09,,2025-06-14,2025-06-24,En retard,True,False,42,4260.13,1.5,268388.19
H0496,"Francis, Barton and Collins",Chaîne,Belgique,Europe,2157.1,2025-04-02,2025-05-02,,2025-05-07,2025-05-17,En retard,True,False,80,2157.1,1.0,172568.0
H0500,"Blackwell, Santos and Simpson",Indépendant,Canada,Amérique du Nord,4637.61,2025-04-26,2025-05-26,2025-07-02,2025-05-31,2025-06-10,Payé,False,False,37,0.0,1.5,0.0
